Production_Year,States_In_Number,Variety_Rank,Modal Price
2014,5,76,4414.024549394835
2014,7,18,4315.0
2014,7,56,5331.11111111111
2014,7,57,4675.921498360463
2014,7,65,4777.144122383253
2014,7,70,4608.315170460765
2014,8,39,4753.308112345815
2014,8,57,4695.108052177335
2014,8,67,4750.66277899878
2014,9,57,4630.95292316161
2014,9,65,4980.519453542977
2014,9,70,4739.6364133930365
2014,10,9,5375.0
2014,10,57,4629.941379368613
2014,10,65,4856.094783047022
2014,10,70,4586.089310632251
2015,0,56,3999.375
2015,0,57,3933.59649122807
2015,0,70,4066.6666666666665
2015,0,73,4047.786666666667
2015,1,9,4106.850212685865
2015,1,11,3985.0
2015,1,23,4000.0
2015,1,29,4078.805943274479
2015,1,35,3906.3888888888887
2015,1,42,3908.3333333333335
2015,1,44,3754.1666666666665
2015,1,45,3962.5
2015,1,50,3000.0
2015,1,54,3850.0
2015,1,56,3967.050042348956
2015,1,57,3996.5607047946255
2015,1,65,3890.0359026043407
2015,1,70,3735.0
2015,1,75,4100.0
2015,1,79,3850.0
2015,2,29,3769.5783576232807
2015,2,39,3638.0555555555557
2015,2,42,4034.0
2015,2,45,3535.694444444444
2015,2,57,3885.50640800374
2015,2,68,4055.3683168508737
2015,2,86,4624.388015873016
2015,3,39,3923.046059472433
2015,3,50,3938.8552520366056
2015,3,57,3912.957232229691
2015,3,61,3746.666666666666
2015,3,65,3838.990914138197
2015,3,75,4425.348296746827
2015,3,86,4690.096199382317
2015,4,14,4058.001893939394
2015,4,25,4046.8333333333335
2015,4,29,4089.42927316062
2015,4,36,4115.188095238095
2015,4,42,3681.029411764706
2015,4,43,4216.358333333333
2015,4,46,4034.1280092592588
2015,4,51,4076.044573253081
2015,4,52,3967.5833943833945
2015,4,57,4088.1942260372707
2015,4,58,4190.050344427122
2015,4,66,4295.3366949580495
2015,4,67,3833.347891030159
2015,4,72,4264.748737373737
2015,4,74,4525.727196574504
2015,4,90,3923.0
2015,5,11,3450.0
2015,5,48,3872.1038979402947
2015,5,49,4299.925326789915
2015,5,56,4116.090533195735
2015,5,57,4072.798282808855
2015,5,64,4074.2398486270004
2015,5,65,3350.0
2015,5,76,4314.675066875269
2015,6,5,4000.0
2015,6,9,4050.0
2015,6,16,3940.0
2015,6,19,4100.0
2015,6,22,3910.0
2015,6,25,4100.0
2015,6,32,3943.597464090333
2015,6,33,3916.6666666666665
2015,6,35,4050.0
2015,6,40,4040.0
2015,6,41,4079.0
2015,6,42,4010.0771264983723
2015,6,45,3833.333333333334
2015,6,46,4163.333333333333
2015,6,48,4078.575
2015,6,50,4026.650520833333
2015,6,51,4100.0
2015,6,53,3910.5989583333335
2015,6,54,3879.590909090909
2015,6,55,4100.0
2015,6,56,3922.4718579262126
2015,6,57,3970.567724080138
2015,6,59,4094.1666666666665
2015,6,63,3849.0468374218376
2015,6,65,3805.9677128427134
2015,6,69,3967.681818181818
2015,6,75,3600.0
2015,6,79,4163.0
2015,6,86,3660.0
2015,7,18,4300.0
2015,7,56,4346.527777777777
2015,7,57,4221.260588537817
2015,7,65,4350.0
2015,7,70,4260.103353102897
2015,8,39,4354.738095238095
2015,8,44,4178.333333333333
2015,8,55,4733.333333333333
2015,8,57,4265.984405206085
2015,8,65,4274.65204787043
2015,8,67,4231.6306042885
2015,9,57,4257.029399890195
2015,9,65,4343.950218829874
2015,9,70,4258.707068121456
2015,9,84,4525.0
2015,10,57,4268.245750596973
2015,10,65,4300.931950594903
2015,10,70,4196.28405722111
2016,0,56,4150.0
2016,0,57,4295.999999999999
2016,0,68,4700.0
2016,0,73,4330.97619047619
2016,1,9,4504.153520987108
2016,1,18,4550.0
2016,1,29,4681.949465284077
2016,1,35,4000.0
2016,1,42,3945.0
2016,1,45,4962.222222222223
2016,1,46,4500.0
2016,1,53,4075.0
2016,1,54,4050.0
2016,1,56,4159.917527287166
2016,1,57,4268.922868797869
2016,1,63,3900.0
2016,1,65,4143.579339615893
2016,1,67,4450.0
2016,1,68,4075.0
2016,1,75,4100.0
2016,1,76,4500.0
2016,1,79,5900.0
2016,1,80,5500.0
2016,2,29,4018.1181650024937
2016,2,39,3999.603174603174
2016,2,45,4312.058823529412
2016,2,57,4583.887352324733
2016,2,68,5239.85483479106
2016,2,84,4671.666666666666
2016,2,86,5776.86044973545
2016,2,91,5876.5
2016,3,39,4613.220714285715
2016,3,50,4554.769884034939
2016,3,57,4504.568124708739
2016,3,61,4625.0
2016,3,65,4458.7236589615695
2016,3,75,5133.547981947962
2016,3,83,4077.0
2016,3,86,5502.626388888889
2016,4,14,4488.025939849625
2016,4,25,4000.0
2016,4,29,4581.2802999257165
2016,4,36,4887.744047619049
2016,4,43,4720.333333333333
2016,4,46,4838.087219887956
2016,4,51,4779.570575233781
2016,4,52,5218.927444903581
2016,4,57,4668.770784832451
2016,4,58,4826.321762557466
2016,4,66,5132.202451439428
2016,4,67,4512.633658008658
2016,4,72,5099.53549382716
2016,4,74,5327.727320811346
2016,4,90,6525.0
2016,5,48,4474.654227716727
2016,5,49,4691.222672282246
2016,5,56,4779.892746920089
2016,5,57,4573.82719179293
2016,5,64,4539.2693698910525
2016,5,76,4988.788556554027
2016,5,81,5005.322222222222
2016,5,84,5443.753527841343
2016,6,10,4500.0
2016,6,19,4280.0
2016,6,20,4150.0
2016,6,21,4100.0
2016,6,22,4032.0
2016,6,24,5035.0
2016,6,27,4592.712121212121
2016,6,32,3780.555555555556
2016,6,33,3838.5416666666665
2016,6,35,4100.0
2016,6,37,3805.0
2016,6,38,4100.0
2016,6,42,4097.876653439153
2016,6,45,5096.56862745098
2016,6,46,5393.75
2016,6,48,3959.75
2016,6,50,4179.009695290859
2016,6,53,4237.75
2016,6,54,4099.583333333333
2016,6,56,4262.644884705471
2016,6,57,4326.140066528123
2016,6,63,4231.035826492349
2016,6,65,4312.127403230298
2016,6,69,4197.723214285714
2016,6,71,4180.0
2016,6,75,4088.285714285714
2016,6,76,4200.0
2016,6,79,4650.0
2016,6,86,4330.0
2016,7,9,4226.25
2016,7,18,5120.0
2016,7,56,4244.938492063492
2016,7,57,4800.943264503715
2016,7,65,4249.6914141414145
2016,7,70,4888.466420774055
