Production_Year,Month,States_In_Number,Variety_Rank,Modal Price
2021,1,5,57,5480.0
2021,1,5,57,5260.0
2021,1,5,57,5355.0
2021,1,5,57,5375.0
2021,1,5,57,5460.0
2021,1,5,57,5540.0
2021,1,5,57,5435.0
2021,1,5,57,5240.0
2021,1,5,57,5425.0
2021,2,5,57,5255.0
2021,2,5,57,5415.0
2021,2,5,57,5380.0
2021,2,5,57,5380.0
2021,2,5,57,5475.0
2021,2,5,57,5300.0
2021,2,5,57,5395.0
2021,2,5,57,5460.0
2021,2,5,57,5500.0
2021,2,5,57,5480.0
2021,2,5,57,5445.0
2021,2,5,57,5585.0
2021,2,5,57,5685.0
2021,2,5,57,5710.0
2021,2,5,57,5755.0
2021,2,5,57,5475.0
2021,2,5,57,5580.0
2021,2,5,57,5700.0
2021,2,5,57,5775.0
2021,2,5,57,5860.0
2021,2,5,57,5740.0
2021,2,5,57,5815.0
2021,2,5,57,5100.0
2021,2,5,57,5825.0
2021,3,5,57,5750.0
2021,3,5,57,5775.0
2021,3,5,57,5675.0
2021,3,5,57,5755.0
2021,3,5,57,5995.0
2021,3,5,57,5835.0
2021,3,5,57,5650.0
2021,3,5,57,5935.0
2021,3,5,57,5980.0
2021,3,5,57,6090.0
2021,3,5,57,6250.0
